Newly Diagnosed Diabetes; Total, Adults Aged 18+ Years, Age-Adjusted Rate per 1000; National
Data downloaded on 29-January-2025
Year,Total - Rate per 1000,Total - 95% Lower Limit,Total - 95% Upper Limit,
2000,6.5,5.9,7.2,
2001,6.8,6.3,7.4,
2002,7.3,6.7,7.9,
2003,7.4,6.8,8.0,
2004,7.5,6.9,8.2,
2005,7.6,7.0,8.3,
2006,7.8,7.2,8.5,
2007,8.0,7.3,8.8,
2008,8.5,7.7,9.5,
2009,8.5,7.6,9.4,
2010,8.1,7.4,9.0,
2011,7.3,6.7,8.0,
2012,7.0,6.5,7.6,
2013,6.7,6.1,7.3,
2014,6.5,6.0,7.1,
2015,6.5,6.0,7.1,
2016,6.3,5.8,6.9,
2017,6.5,5.8,7.2,
2018,6.1,5.5,6.7,
2019,5.6,5.1,6.3,
2020,5.3,4.8,5.9,
2021,5.8,5.2,6.4,
2022,6.4,5.7,7.2,
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
